Date,Resting HR,Sleep Score,Stress,Body Battery High,Body Battery Low,Weight
2024-05-23,50,77,36,64,5,53.2
2024-05-24,46,81,25,74,6,
2024-05-25,49,76,31,77,14,
2024-05-26,52,36,42,40,5,
2024-05-27,48,81,25,51,5,
2024-05-28,50,79,27,73,27,
2024-05-29,44,83,23,94,23,
2024-05-30,46,85,31,90,13,52.4
2024-05-31,46,82,21,80,18,
2024-06-01,45,81,24,98,26,52.799
2024-06-02,46,87,29,88,19,
2024-06-03,50,74,34,62,13,
2024-06-04,45,81,25,92,15,
2024-06-05,42,85,20,99,27,
2024-06-06,43,82,34,91,13,52.299
2024-06-07,44,81,21,93,21,
2024-06-08,44,84,31,99,11,
2024-06-09,49,44,30,38,9,
2024-06-10,49,79,28,71,16,
2024-06-11,44,82,31,91,15,
2024-06-12,49,64,31,60,14,
2024-06-13,45,86,29,93,17,
2024-06-14,49,80,37,68,6,52.4
2024-06-15,48,90,26,76,11,
2024-06-16,47,66,34,92,6,
2024-06-17,49,65,33,36,5,
2024-06-18,47,82,27,88,12,
2024-06-19,46,85,37,86,5,
2024-06-20,49,56,29,50,8,
2024-06-21,47,88,28,92,19,52.7
2024-06-22,46,81,27,91,20,
2024-06-23,51,71,31,60,17,
2024-06-24,48,81,24,78,20,
2024-06-25,37,84,29,99,16,
2024-06-26,43,81,28,92,16,52.9
2024-06-27,44,81,23,96,20,
2024-06-28,46,76,25,73,29,
2024-06-29,46,80,29,83,25,
2024-06-30,43,81,24,95,24,
2024-07-01,44,85,25,97,23,
2024-07-02,42,80,26,100,21,
2024-07-03,45,82,24,82,21,
2024-07-04,41,85,26,100,24,
2024-07-05,47,74,36,70,12,52.2
2024-07-06,48,71,29,49,8,
2024-07-07,44,86,21,92,12,
2024-07-08,45,86,23,94,30,
2024-07-09,42,87,26,100,21,
2024-07-10,44,84,22,89,23,
2024-07-11,43,85,36,97,11,52.2
2024-07-12,45,87,22,78,14,
2024-07-13,42,79,30,100,9,
2024-07-14,47,77,19,88,12,
2024-07-15,47,78,22,86,33,
2024-07-16,45,86,29,90,22,
2024-07-17,45,70,25,67,20,
2024-07-18,43,88,25,99,24,
2024-07-19,43,89,29,95,14,
2024-07-20,49,66,30,50,10,
2024-07-21,45,76,32,77,5,
2024-07-22,45,76,24,47,7,
2024-07-23,44,82,43,96,5,
2024-07-24,46,73,24,43,5,
2024-07-25,44,94,19,100,28,
2024-07-26,44,81,30,91,15,52.7
2024-07-27,46,66,29,76,16,
2024-07-28,48,85,31,75,16,
2024-07-29,47,84,26,83,24,
2024-07-30,44,79,32,85,13,
2024-07-31,47,86,25,81,22,
2024-08-01,44,85,25,93,26,
2024-08-02,42,82,27,99,20,
2024-08-03,49,75,30,66,17,
2024-08-04,42,77,41,92,5,
2024-08-05,44,51,24,40,5,
2024-08-06,42,88,32,100,12,52.2
2024-08-07,42,80,22,91,15,
2024-08-08,46,86,28,91,27,
2024-08-09,42,83,20,100,30,
2024-08-10,43,80,31,96,14,
2024-08-11,47,,35,80,17,
2024-08-12,47,56,27,57,27,
2024-08-13,44,95,24,97,28,
2024-08-14,45,84,30,93,16,52.0
2024-08-15,48,56,31,56,14,
2024-08-16,47,80,23,67,20,
2024-08-17,44,79,26,95,22,
2024-08-18,44,75,45,82,5,
2024-08-19,49,41,34,24,5,
2024-08-20,50,75,30,57,5,
2024-08-21,51,62,32,46,6,
2024-08-22,51,42,38,49,7,
2024-08-23,46,66,44,51,5,
2024-08-24,52,47,45,36,5,
2024-08-25,52,47,49,25,5,
2024-08-26,51,68,30,55,7,
2024-08-27,45,88,26,87,19,
2024-08-28,47,79,29,79,16,
2024-08-29,44,83,27,88,19,52.799
2024-08-30,44,90,28,90,23,
2024-08-31,48,70,36,59,22,
2024-09-01,47,75,28,68,12,
2024-09-02,47,83,25,70,16,
2024-09-03,45,81,25,90,27,
2024-09-04,43,84,27,94,18,
2024-09-05,44,80,27,88,17,52.099
2024-09-06,45,85,23,83,22,
2024-09-07,43,79,33,97,5,
2024-09-08,47,68,28,46,6,
2024-09-09,44,75,23,75,18,
2024-09-10,41,83,38,98,5,
2024-09-11,48,31,27,27,5,
2024-09-12,47,70,24,64,19,
2024-09-13,45,88,27,93,18,52.098
2024-09-14,43,60,27,85,14,
2024-09-15,40,81,39,93,5,
2024-09-16,48,44,29,26,5,
2024-09-17,48,71,27,78,17,
2024-09-18,45,84,29,86,16,
2024-09-19,45,88,34,75,12,51.9
2024-09-20,46,77,31,72,16,
2024-09-21,49,67,30,54,12,
2024-09-22,46,71,39,77,5,
2024-09-23,50,30,35,20,5,
2024-09-24,49,75,30,49,5,
2024-09-25,47,82,37,79,9,
2024-09-26,51,48,37,39,5,53.0
2024-09-27,49,68,34,49,5,
2024-09-28,50,41,35,42,7,
2024-09-29,45,84,26,72,16,
2024-09-30,47,82,30,73,19,
2024-10-01,43,86,24,93,28,
2024-10-02,44,80,31,97,15,
2024-10-03,45,85,24,81,24,
2024-10-04,42,82,26,98,20,52.299
2024-10-05,41,90,22,99,23,
2024-10-06,41,84,44,99,5,
2024-10-07,47,51,35,28,5,
2024-10-08,47,76,29,48,5,
2024-10-09,46,85,28,72,16,
2024-10-10,42,81,22,90,22,
2024-10-11,48,76,27,77,22,
2024-10-12,47,83,37,79,11,
2024-10-13,47,80,31,69,8,
2024-10-14,49,69,28,71,30,
2024-10-15,50,85,32,73,19,
2024-10-16,44,79,28,84,20,
2024-10-17,51,38,35,45,9,
2024-10-18,48,88,35,75,13,
2024-10-19,52,41,41,36,10,
2024-10-20,50,67,26,52,10,
2024-10-21,49,77,33,76,19,
2024-10-22,48,72,29,64,18,
2024-10-23,44,81,32,86,11,52.0
2024-10-24,47,78,39,67,5,52.4
2024-10-25,48,48,36,28,5,
2024-10-26,44,88,27,88,14,
2024-10-27,51,48,37,51,11,
2024-10-28,49,53,36,49,9,
2024-10-29,48,78,39,60,5,
2024-10-30,51,65,35,34,5,
2024-10-31,48,81,34,60,5,
2024-11-01,50,78,37,53,6,
2024-11-02,49,54,32,42,8,
2024-11-03,47,83,29,73,15,
2024-11-04,53,65,39,59,5,
2024-11-05,50,51,38,46,5,
2024-11-06,49,76,35,44,5,
2024-11-07,46,83,27,69,7,
2024-11-08,48,78,33,74,9,53.2
2024-11-09,45,81,23,84,9,
2024-11-10,44,86,27,87,22,
2024-11-11,46,46,30,51,21,
2024-11-12,45,87,38,88,9,
2024-11-13,50,55,35,55,9,
2024-11-14,50,77,32,49,13,
2024-11-15,48,62,33,53,10,53.0
2024-11-16,44,83,26,84,19,
2024-11-17,48,57,43,55,5,
2024-11-18,46,79,26,39,5,
2024-11-19,45,91,25,92,23,52.799
2024-11-20,44,89,26,90,21,
2024-11-21,46,86,37,75,5,
2024-11-22,48,47,34,34,5,
2024-11-23,47,83,27,72,13,
2024-11-24,43,88,29,89,17,
2024-11-25,50,72,33,53,15,
2024-11-26,49,0,46,48,9,
2024-11-27,50,76,39,39,5,
2024-11-28,50,79,30,41,5,
2024-11-29,52,70,47,52,5,53.599
2024-11-30,52,71,34,35,5,
2024-12-01,51,81,47,56,5,
2024-12-02,52,47,35,25,5,
2024-12-03,52,77,36,65,5,
2024-12-04,55,46,42,30,5,
2024-12-05,54,,44,74,8,53.799
2024-12-06,54,47,34,35,8,
2024-12-07,49,84,29,60,16,
2024-12-08,49,72,35,77,8,
2024-12-09,47,49,35,34,8,
2024-12-10,47,87,28,79,17,
2024-12-11,50,84,30,74,16,53.7
2024-12-12,49,77,36,75,9,53.5
2024-12-13,49,77,27,52,14,
2024-12-14,47,78,27,72,21,
2024-12-15,47,78,28,87,18,
2024-12-16,49,80,27,69,26,
2024-12-17,50,83,27,81,32,
2024-12-18,45,85,32,98,9,
2024-12-19,49,50,27,50,12,52.799
2024-12-20,51,83,29,70,19,
2024-12-21,49,82,29,78,27,
2024-12-22,46,82,33,88,10,
2024-12-23,46,44,28,38,15,
2024-12-24,48,85,35,88,11,
2024-12-25,49,43,35,52,7,
2024-12-26,50,82,32,51,14,
2024-12-27,52,48,45,56,5,52.5
2024-12-28,48,68,26,34,5,
2024-12-29,48,78,26,78,28,
2024-12-30,52,82,28,69,28,
2024-12-31,49,81,34,63,20,
2025-01-01,46,86,34,89,18,
2025-01-02,53,80,51,60,5,
2025-01-03,49,86,27,57,5,
2025-01-04,54,50,39,46,21,
2025-01-05,52,47,39,48,10,
2025-01-06,47,78,36,63,11,
2025-01-07,50,33,50,24,5,
2025-01-08,47,89,22,73,5,
2025-01-09,50,86,31,76,19,
2025-01-10,47,87,29,78,19,
2025-01-11,49,47,45,47,7,
2025-01-12,49,85,25,68,14,
2025-01-13,51,77,50,69,5,
2025-01-14,52,28,46,22,5,
2025-01-15,53,77,33,41,5,
2025-01-16,51,87,28,69,13,53.5
